consumo
28332,94
26356,3
28167,68
26340,88
24691,32
23792,17
27855,36
22094,89
24280,57
26982,45
29580,68
31372,95
35564,12
33650,69
32052,25
30064,49
29410,96
30474,4
31177,07
25497,68
29062,2
26758,7
33555,24
36589,52
38834,51
36317,3
36683,55
28267,67
30962,82
31620,18
31416,7
28411,95
29775,98
30670,04
31614,83
34785,09
39566,13
31094,47
34963,7
28755,11
29217,46
32485,82
33802,84
26851,44
29206,31
34168,97
39944,1
44125,81
44574,45
43464,16
39463,35
34932,22
37020,02
33565,06
38954,58
34029,32
34828,99
34452,89
37156,55
38113,8
40800,76
34415,46
33611,36
29443,97
28712,06
33926,23
36607,73
31595,52
32720,47
34432,01
34348,7
38059,66
40942,23
37523,43
34318,03
32470,02
29974,08
28260,58
33646,27
27816,72
33330,58
31918,27
40101,53
37774,71
40717,21
34860,22
36830,1
25143,67
31754,86
28301,32
26116,84
27713,95
27917,36
29701,26
30213
37021,56
37706,67
40413,12
34427,31
29871,92
28423,73
25950,75
26221,28
24145,22
27025,86
29676,26
32755,1
34739,76
36538,94
30995,42
30023,76
26567,58
27130,33
20835,74
25610,79
19350,57
22965,45
26254,78
30935,42
35443,71
31292,43
29416,54
25077,2
23542,06
23165,35
21523,45
20860,68
20846,69
23909,11
23377,34
24657,49
30447,22
