4,06
2,34
,60
-,89
-1,96
-1,04
-,94
-3,34
-5,55
-4,21
-2,87
-3,85
-3,98
-2,21
-2,12
-4,44
-4,64
-1,66
1,00
1,70
2,91
3,09
1,94
1,28
,43
,21
1,99
3,96
4,95
4,67
2,42
,52
1,04
1,19
-,76
-1,52
-1,07
,06
,62
,42
1,20
2,05
1,94
2,28
1,91
1,01
-,58
-1,59
-,56
,07
-,52
-1,11
-2,73
-3,82
-3,98
-1,89
2,31
4,02
2,61
1,75
1,04
-,54
-2,69
-3,44
-1,49
,41
1,63
2,76
2,40
,09
-1,97
-2,08
-1,77
,93
2,70
-,26
-3,57
-3,63
,38
4,00
4,56
1,55
-2,71
-4,03
-2,50
,17
1,76
,41
-1,83
-2,71
-3,02
-3,64
-3,64
-3,00
-,44
2,52
4,05
4,19
5,15
4,94
3,10
2,61
2,77
2,18
1,93
1,80
-1,15
-4,73
-4,69
-2,61
,45
4,09
7,74
7,55
3,65
-1,28
-4,22
-4,29
-1,16
3,66
5,50
3,19
-1,61
-4,46
-3,98
-2,45
-1,79
-2,78
-4,29
-4,39
-1,52
3,03
3,31
1,90
-,95
-1,44
-,21
-1,13
-4,35
-5,90
-3,88
-,83
2,09
4,00
3,57
1,18
-1,01
-3,03
-2,88
-,63
2,31
4,04
4,29
3,02
1,31
1,10
1,34
,73
-1,72
-2,47
-,60
,07
-,28
1,25
3,52
4,70
4,33
1,73
-,96
-4,21
-6,43
-5,02
-1,45
2,21
5,23
5,54
2,78
-,75
-2,72
-1,32
-,67
-,18
1,21
2,20
1,42
-3,15
-7,63
-6,70
-4,63
-2,19
,79
2,95
3,86
3,08
1,43
,74
,47
,24
-1,01
-2,21
